Group,Trait,House and Planets,Status,Points
Personal Character & Ethics Trait,Patience & Tolerance,Moon (mind & emotions),Moon weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Patience & Tolerance,Moon (mind & emotions),Moon very weak/debilitated & heavily afflicted for this trait,-2
Work & Collaboration Trait,Leadership,Base,Base,5
Work & Collaboration Trait,Leadership,Sun (identity & leadership),Sun very strong & well placed for this trait (own/exalted in key houses),2
Work & Collaboration Trait,Leadership,Sun (identity & leadership),Sun strong or benefic-supported for this trait,1
Work & Collaboration Trait,Leadership,Sun (identity & leadership),Sun weak or somewhat afflicted for this trait,-1
Work & Collaboration Trait,Leadership,Sun (identity & leadership),Sun very weak/debilitated & heavily afflicted for this trait,-2
Work & Collaboration Trait,Leadership,Mars (drive & execution),Mars very strong & well placed for this trait (own/exalted in key houses),2
Work & Collaboration Trait,Leadership,Mars (drive & execution),Mars strong or benefic-supported for this trait,1
Work & Collaboration Trait,Leadership,Mars (drive & execution),Mars weak or somewhat afflicted for this trait,-1
Work & Collaboration Trait,Leadership,Mars (drive & execution),Mars very weak/debilitated & heavily afflicted for this trait,-2
Work & Collaboration Trait,Leadership,Saturn (discipline & structure),Saturn very strong & well placed for this trait (own/exalted in key houses),2
Work & Collaboration Trait,Leadership,Saturn (discipline & structure),Saturn strong or benefic-supported for this trait,1
Work & Collaboration Trait,Leadership,Saturn (discipline & structure),Saturn weak or somewhat afflicted for this trait,-1
Work & Collaboration Trait,Leadership,Saturn (discipline & structure),Saturn very weak/debilitated & heavily afflicted for this trait,-2
Work & Collaboration Trait,Leadership,Jupiter (wisdom & expansion),Jupiter very strong & well placed for this trait (own/exalted in key houses),2
Work & Collaboration Trait,Leadership,Jupiter (wisdom & expansion),Jupiter strong or benefic-supported for this trait,1
Work & Collaboration Trait,Leadership,Jupiter (wisdom & expansion),Jupiter weak or somewhat afflicted for this trait,-1
Work & Collaboration Trait,Leadership,Jupiter (wisdom & expansion),Jupiter very weak/debilitated & heavily afflicted for this trait,-2
Work & Collaboration Trait,Leadership,10th house & lord (career/status),10H lord strong & well placed (supports this trait),2
Work & Collaboration Trait,Leadership,10th house & lord (career/status),"10H lord average, some benefic support",1
Work & Collaboration Trait,Leadership,10th house & lord (career/status),10H lord weak or placed in 6/8/12,-1
Work & Collaboration Trait,Leadership,10th house & lord (career/status),10H lord debilitated & heavily afflicted,-2
Work & Collaboration Trait,Vision & Direction,Base,Base,5
Work & Collaboration Trait,Vision & Direction,Sun (identity & leadership),Sun very strong & well placed for this trait (own/exalted in key houses),2
Work & Collaboration Trait,Vision & Direction,Sun (identity & leadership),Sun strong or benefic-supported for this trait,1
Work & Collaboration Trait,Vision & Direction,Sun (identity & leadership),Sun weak or somewhat afflicted for this trait,-1
Work & Collaboration Trait,Vision & Direction,Sun (identity & leadership),Sun very weak/debilitated & heavily afflicted for this trait,-2
Work & Collaboration Trait,Vision & Direction,Jupiter (wisdom & expansion),Jupiter very strong & well placed for this trait (own/exalted in key houses),2
Work & Collaboration Trait,Vision & Direction,Jupiter (wisdom & expansion),Jupiter strong or benefic-supported for this trait,1
Work & Collaboration Trait,Vision & Direction,Jupiter (wisdom & expansion),Jupiter weak or somewhat afflicted for this trait,-1
Work & Collaboration Trait,Vision & Direction,Jupiter (wisdom & expansion),Jupiter very weak/debilitated & heavily afflicted for this trait,-2
Work & Collaboration Trait,Vision & Direction,Rahu (innovation & risk),Rahu very strong & well placed for this trait (own/exalted in key houses),2
Work & Collaboration Trait,Vision & Direction,Rahu (innovation & risk),Rahu strong or benefic-supported for this trait,1
Work & Collaboration Trait,Vision & Direction,Rahu (innovation & risk),Rahu weak or somewhat afflicted for this trait,-1
Work & Collaboration Trait,Vision & Direction,Rahu (innovation & risk),Rahu very weak/debilitated & heavily afflicted for this trait,-2
Work & Collaboration Trait,Vision & Direction,9th house & lord (dharma/luck),9H lord strong & well placed (supports this trait),2
Work & Collaboration Trait,Vision & Direction,9th house & lord (dharma/luck),"9H lord average, some benefic support",1
Work & Collaboration Trait,Vision & Direction,9th house & lord (dharma/luck),9H lord weak or placed in 6/8/12,-1
Work & Collaboration Trait,Vision & Direction,9th house & lord (dharma/luck),9H lord debilitated & heavily afflicted,-2
Work & Collaboration Trait,Vision & Direction,10th house & lord (career/status),10H lord strong & well placed (supports this trait),2
Work & Collaboration Trait,Vision & Direction,10th house & lord (career/status),"10H lord average, some benefic support",1
Work & Collaboration Trait,Vision & Direction,10th house & lord (career/status),10H lord weak or placed in 6/8/12,-1
Work & Collaboration Trait,Vision & Direction,10th house & lord (career/status),10H lord debilitated & heavily afflicted,-2
Mental Growth & Adaptability Trait,Observation & Awareness,Base,Base,5
Mental Growth & Adaptability Trait,Observation & Awareness,Mercury (intellect & communication),Mercury very strong & well placed for this trait (own/exalted in key houses),2
Mental Growth & Adaptability Trait,Observation & Awareness,Mercury (intellect & communication),Mercury strong or benefic-supported for this trait,1
Mental Growth & Adaptability Trait,Observation & Awareness,Mercury (intellect & communication),Mercury weak or somewhat afflicted for this trait,-1
Mental Growth & Adaptability Trait,Observation & Awareness,Mercury (intellect & communication),Mercury very weak/debilitated & heavily afflicted for this trait,-2
Mental Growth & Adaptability Trait,Observation & Awareness,Moon (mind & emotions),Moon very strong & well placed for this trait (own/exalted in key houses),2
Mental Growth & Adaptability Trait,Observation & Awareness,Moon (mind & emotions),Moon strong or benefic-supported for this trait,1
Mental Growth & Adaptability Trait,Observation & Awareness,Moon (mind & emotions),Moon weak or somewhat afflicted for this trait,-1
Mental Growth & Adaptability Trait,Observation & Awareness,Moon (mind & emotions),Moon very weak/debilitated & heavily afflicted for this trait,-2
Mental Growth & Adaptability Trait,Observation & Awareness,Rahu (innovation & risk),Rahu very strong & well placed for this trait (own/exalted in key houses),2
Mental Growth & Adaptability Trait,Observation & Awareness,Rahu (innovation & risk),Rahu strong or benefic-supported for this trait,1
Mental Growth & Adaptability Trait,Observation & Awareness,Rahu (innovation & risk),Rahu weak or somewhat afflicted for this trait,-1
Mental Growth & Adaptability Trait,Observation & Awareness,Rahu (innovation & risk),Rahu very weak/debilitated & heavily afflicted for this trait,-2
Mental Growth & Adaptability Trait,Observation & Awareness,3rd house & lord (effort/communication),3H lord strong & well placed (supports this trait),2
Mental Growth & Adaptability Trait,Observation & Awareness,3rd house & lord (effort/communication),"3H lord average, some benefic support",1
Mental Growth & Adaptability Trait,Observation & Awareness,3rd house & lord (effort/communication),3H lord weak or placed in 6/8/12,-1
Mental Growth & Adaptability Trait,Observation & Awareness,3rd house & lord (effort/communication),3H lord debilitated & heavily afflicted,-2
Mental Growth & Adaptability Trait,Mentorship & Growth,Base,Base,5
Mental Growth & Adaptability Trait,Mentorship & Growth,Jupiter (wisdom & expansion),Jupiter very strong & well placed for this trait (own/exalted in key houses),2
Mental Growth & Adaptability Trait,Mentorship & Growth,Jupiter (wisdom & expansion),Jupiter strong or benefic-supported for this trait,1
Mental Growth & Adaptability Trait,Mentorship & Growth,Jupiter (wisdom & expansion),Jupiter weak or somewhat afflicted for this trait,-1
Mental Growth & Adaptability Trait,Mentorship & Growth,Jupiter (wisdom & expansion),Jupiter very weak/debilitated & heavily afflicted for this trait,-2
Mental Growth & Adaptability Trait,Mentorship & Growth,9th house & lord (dharma/luck),9H lord strong & well placed (supports this trait),2
Mental Growth & Adaptability Trait,Mentorship & Growth,9th house & lord (dharma/luck),"9H lord average, some benefic support",1
Mental Growth & Adaptability Trait,Mentorship & Growth,9th house & lord (dharma/luck),9H lord weak or placed in 6/8/12,-1
Mental Growth & Adaptability Trait,Mentorship & Growth,9th house & lord (dharma/luck),9H lord debilitated & heavily afflicted,-2
Mental Growth & Adaptability Trait,Mentorship & Growth,5th house & lord (intellect/creativity),5H lord strong & well placed (supports this trait),2
Mental Growth & Adaptability Trait,Mentorship & Growth,5th house & lord (intellect/creativity),"5H lord average, some benefic support",1
Mental Growth & Adaptability Trait,Mentorship & Growth,5th house & lord (intellect/creativity),5H lord weak or placed in 6/8/12,-1
Mental Growth & Adaptability Trait,Mentorship & Growth,5th house & lord (intellect/creativity),5H lord debilitated & heavily afflicted,-2
Mental Growth & Adaptability Trait,Mentorship & Growth,11th house & lord (gains/networks),11H lord strong & well placed (supports this trait),2
Mental Growth & Adaptability Trait,Mentorship & Growth,11th house & lord (gains/networks),"11H lord average, some benefic support",1
Mental Growth & Adaptability Trait,Mentorship & Growth,11th house & lord (gains/networks),11H lord weak or placed in 6/8/12,-1
Mental Growth & Adaptability Trait,Mentorship & Growth,11th house & lord (gains/networks),11H lord debilitated & heavily afflicted,-2
Mental Growth & Adaptability Trait,Curiosity & Inquisitiveness,Base,Base,5
Mental Growth & Adaptability Trait,Curiosity & Inquisitiveness,Mercury (intellect & communication),Mercury very strong & well placed for this trait (own/exalted in key houses),2
Mental Growth & Adaptability Trait,Curiosity & Inquisitiveness,Mercury (intellect & communication),Mercury strong or benefic-supported for this trait,1
Mental Growth & Adaptability Trait,Curiosity & Inquisitiveness,Mercury (intellect & communication),Mercury weak or somewhat afflicted for this trait,-1
Mental Growth & Adaptability Trait,Curiosity & Inquisitiveness,Mercury (intellect & communication),Mercury very weak/debilitated & heavily afflicted for this trait,-2
Mental Growth & Adaptability Trait,Curiosity & Inquisitiveness,Rahu (innovation & risk),Rahu very strong & well placed for this trait (own/exalted in key houses),2
Mental Growth & Adaptability Trait,Curiosity & Inquisitiveness,Rahu (innovation & risk),Rahu strong or benefic-supported for this trait,1
Mental Growth & Adaptability Trait,Curiosity & Inquisitiveness,Rahu (innovation & risk),Rahu weak or somewhat afflicted for this trait,-1
Mental Growth & Adaptability Trait,Curiosity & Inquisitiveness,Rahu (innovation & risk),Rahu very weak/debilitated & heavily afflicted for this trait,-2
Mental Growth & Adaptability Trait,Curiosity & Inquisitiveness,Saturn (discipline & structure),Saturn very strong & well placed for this trait (own/exalted in key houses),2
Mental Growth & Adaptability Trait,Curiosity & Inquisitiveness,Saturn (discipline & structure),Saturn strong or benefic-supported for this trait,1
Mental Growth & Adaptability Trait,Curiosity & Inquisitiveness,Saturn (discipline & structure),Saturn weak or somewhat afflicted for this trait,-1
Mental Growth & Adaptability Trait,Curiosity & Inquisitiveness,Saturn (discipline & structure),Saturn very weak/debilitated & heavily afflicted for this trait,-2
Mental Growth & Adaptability Trait,Curiosity & Inquisitiveness,3rd house & lord (effort/communication),3H lord strong & well placed (supports this trait),2
Mental Growth & Adaptability Trait,Curiosity & Inquisitiveness,3rd house & lord (effort/communication),"3H lord average, some benefic support",1
Mental Growth & Adaptability Trait,Curiosity & Inquisitiveness,3rd house & lord (effort/communication),3H lord weak or placed in 6/8/12,-1
Mental Growth & Adaptability Trait,Curiosity & Inquisitiveness,3rd house & lord (effort/communication),3H lord debilitated & heavily afflicted,-2
Mental Growth & Adaptability Trait,Curiosity & Inquisitiveness,5th house & lord (intellect/creativity),5H lord strong & well placed (supports this trait),2
Mental Growth & Adaptability Trait,Curiosity & Inquisitiveness,5th house & lord (intellect/creativity),"5H lord average, some benefic support",1
Mental Growth & Adaptability Trait,Curiosity & Inquisitiveness,5th house & lord (intellect/creativity),5H lord weak or placed in 6/8/12,-1
Mental Growth & Adaptability Trait,Curiosity & Inquisitiveness,5th house & lord (intellect/creativity),5H lord debilitated & heavily afflicted,-2
Mental Growth & Adaptability Trait,Curiosity & Inquisitiveness,9th house & lord (dharma/luck),9H lord strong & well placed (supports this trait),2
Mental Growth & Adaptability Trait,Curiosity & Inquisitiveness,9th house & lord (dharma/luck),"9H lord average, some benefic support",1
Mental Growth & Adaptability Trait,Curiosity & Inquisitiveness,9th house & lord (dharma/luck),9H lord weak or placed in 6/8/12,-1
Mental Growth & Adaptability Trait,Curiosity & Inquisitiveness,9th house & lord (dharma/luck),9H lord debilitated & heavily afflicted,-2
Work & Collaboration Trait,Perfectionism & Detail,Base,Base,5
Work & Collaboration Trait,Perfectionism & Detail,Mercury (intellect & communication),Mercury very strong & well placed for this trait (own/exalted in key houses),2
Work & Collaboration Trait,Perfectionism & Detail,Mercury (intellect & communication),Mercury strong or benefic-supported for this trait,1
Work & Collaboration Trait,Perfectionism & Detail,Mercury (intellect & communication),Mercury weak or somewhat afflicted for this trait,-1
Work & Collaboration Trait,Perfectionism & Detail,Mercury (intellect & communication),Mercury very weak/debilitated & heavily afflicted for this trait,-2
Work & Collaboration Trait,Perfectionism & Detail,Saturn (discipline & structure),Saturn very strong & well placed for this trait (own/exalted in key houses),2
Work & Collaboration Trait,Perfectionism & Detail,Saturn (discipline & structure),Saturn strong or benefic-supported for this trait,1
Work & Collaboration Trait,Perfectionism & Detail,Saturn (discipline & structure),Saturn weak or somewhat afflicted for this trait,-1
Work & Collaboration Trait,Perfectionism & Detail,Saturn (discipline & structure),Saturn very weak/debilitated & heavily afflicted for this trait,-2
Work & Collaboration Trait,Perfectionism & Detail,3rd house & lord (effort/communication),3H lord strong & well placed (supports this trait),2
Work & Collaboration Trait,Perfectionism & Detail,3rd house & lord (effort/communication),"3H lord average, some benefic support",1
Work & Collaboration Trait,Perfectionism & Detail,3rd house & lord (effort/communication),3H lord weak or placed in 6/8/12,-1
Work & Collaboration Trait,Perfectionism & Detail,3rd house & lord (effort/communication),3H lord debilitated & heavily afflicted,-2
Work & Collaboration Trait,Perfectionism & Detail,6th house & lord (daily work/service),6H lord strong & well placed (supports this trait),2
Work & Collaboration Trait,Perfectionism & Detail,6th house & lord (daily work/service),"6H lord average, some benefic support",1
Work & Collaboration Trait,Perfectionism & Detail,6th house & lord (daily work/service),6H lord weak or placed in 6/8/12,-1
Work & Collaboration Trait,Perfectionism & Detail,6th house & lord (daily work/service),6H lord debilitated & heavily afflicted,-2
Work & Collaboration Trait,Perfectionism & Detail,10th house & lord (career/status),10H lord strong & well placed (supports this trait),2
Work & Collaboration Trait,Perfectionism & Detail,10th house & lord (career/status),"10H lord average, some benefic support",1
Work & Collaboration Trait,Perfectionism & Detail,10th house & lord (career/status),10H lord weak or placed in 6/8/12,-1
Work & Collaboration Trait,Perfectionism & Detail,10th house & lord (career/status),10H lord debilitated & heavily afflicted,-2
Mental Growth & Adaptability Trait,Improvisation & Adaptability,Base,Base,5
Mental Growth & Adaptability Trait,Improvisation & Adaptability,Rahu (innovation & risk),Rahu very strong & well placed for this trait (own/exalted in key houses),2
Mental Growth & Adaptability Trait,Improvisation & Adaptability,Rahu (innovation & risk),Rahu strong or benefic-supported for this trait,1
Mental Growth & Adaptability Trait,Improvisation & Adaptability,Rahu (innovation & risk),Rahu weak or somewhat afflicted for this trait,-1
Mental Growth & Adaptability Trait,Improvisation & Adaptability,Rahu (innovation & risk),Rahu very weak/debilitated & heavily afflicted for this trait,-2
Mental Growth & Adaptability Trait,Improvisation & Adaptability,Mercury (intellect & communication),Mercury very strong & well placed for this trait (own/exalted in key houses),2
Mental Growth & Adaptability Trait,Improvisation & Adaptability,Mercury (intellect & communication),Mercury strong or benefic-supported for this trait,1
Mental Growth & Adaptability Trait,Improvisation & Adaptability,Mercury (intellect & communication),Mercury weak or somewhat afflicted for this trait,-1
Mental Growth & Adaptability Trait,Improvisation & Adaptability,Mercury (intellect & communication),Mercury very weak/debilitated & heavily afflicted for this trait,-2
Mental Growth & Adaptability Trait,Improvisation & Adaptability,Saturn (discipline & structure),Saturn very strong & well placed for this trait (own/exalted in key houses),2
Mental Growth & Adaptability Trait,Improvisation & Adaptability,Saturn (discipline & structure),Saturn strong or benefic-supported for this trait,1
Mental Growth & Adaptability Trait,Improvisation & Adaptability,Saturn (discipline & structure),Saturn weak or somewhat afflicted for this trait,-1
Mental Growth & Adaptability Trait,Improvisation & Adaptability,Saturn (discipline & structure),Saturn very weak/debilitated & heavily afflicted for this trait,-2
Emotional & Relationship Trait,Focus on Well-being,Base,Base,5
Emotional & Relationship Trait,Focus on Well-being,1st house & lord (self/body),1H lord strong & well placed (supports this trait),2
Emotional & Relationship Trait,Focus on Well-being,1st house & lord (self/body),"1H lord average, some benefic support",1
Emotional & Relationship Trait,Focus on Well-being,1st house & lord (self/body),1H lord weak or placed in 6/8/12,-1
Emotional & Relationship Trait,Focus on Well-being,1st house & lord (self/body),1H lord debilitated & heavily afflicted,-2
Emotional & Relationship Trait,Focus on Well-being,6th house & lord (daily work/service),6H lord strong & well placed (supports this trait),2
Emotional & Relationship Trait,Focus on Well-being,6th house & lord (daily work/service),"6H lord average, some benefic support",1
Emotional & Relationship Trait,Focus on Well-being,6th house & lord (daily work/service),6H lord weak or placed in 6/8/12,-1
Emotional & Relationship Trait,Focus on Well-being,6th house & lord (daily work/service),6H lord debilitated & heavily afflicted,-2
Emotional & Relationship Trait,Focus on Well-being,12th house & lord (loss/spirituality),12H lord strong & well placed (supports this trait),2
Emotional & Relationship Trait,Focus on Well-being,12th house & lord (loss/spirituality),"12H lord average, some benefic support",1
Emotional & Relationship Trait,Focus on Well-being,12th house & lord (loss/spirituality),12H lord weak or placed in 6/8/12,-1
Emotional & Relationship Trait,Focus on Well-being,12th house & lord (loss/spirituality),12H lord debilitated & heavily afflicted,-2
Emotional & Relationship Trait,Focus on Well-being,Lagna & lord (core nature),Lagna strong & well supported,1
Emotional & Relationship Trait,Focus on Well-being,Lagna & lord (core nature),Lagna weak or afflicted,-1
Skill & Professional Trait,Business Acumen,Base,Base,5
Skill & Professional Trait,Business Acumen,Saturn (discipline & structure),Saturn very strong & well placed for this trait (own/exalted in key houses),2
Skill & Professional Trait,Business Acumen,Saturn (discipline & structure),Saturn strong or benefic-supported for this trait,1
Skill & Professional Trait,Business Acumen,Saturn (discipline & structure),Saturn weak or somewhat afflicted for this trait,-1
Skill & Professional Trait,Business Acumen,Saturn (discipline & structure),Saturn very weak/debilitated & heavily afflicted for this trait,-2
Skill & Professional Trait,Business Acumen,Jupiter (wisdom & expansion),Jupiter very strong & well placed for this trait (own/exalted in key houses),2
Skill & Professional Trait,Business Acumen,Jupiter (wisdom & expansion),Jupiter strong or benefic-supported for this trait,1
Skill & Professional Trait,Business Acumen,Jupiter (wisdom & expansion),Jupiter weak or somewhat afflicted for this trait,-1
Skill & Professional Trait,Business Acumen,Jupiter (wisdom & expansion),Jupiter very weak/debilitated & heavily afflicted for this trait,-2
Skill & Professional Trait,Business Acumen,Mercury (intellect & communication),Mercury very strong & well placed for this trait (own/exalted in key houses),2
Skill & Professional Trait,Business Acumen,Mercury (intellect & communication),Mercury strong or benefic-supported for this trait,1
Skill & Professional Trait,Business Acumen,Mercury (intellect & communication),Mercury weak or somewhat afflicted for this trait,-1
Skill & Professional Trait,Business Acumen,Mercury (intellect & communication),Mercury very weak/debilitated & heavily afflicted for this trait,-2
Skill & Professional Trait,Business Acumen,2nd house & lord (values/wealth),2H lord strong & well placed (supports this trait),2
Skill & Professional Trait,Business Acumen,2nd house & lord (values/wealth),"2H lord average, some benefic support",1
Skill & Professional Trait,Business Acumen,2nd house & lord (values/wealth),2H lord weak or placed in 6/8/12,-1
Skill & Professional Trait,Business Acumen,2nd house & lord (values/wealth),2H lord debilitated & heavily afflicted,-2
Skill & Professional Trait,Business Acumen,11th house & lord (gains/networks),11H lord strong & well placed (supports this trait),2
Skill & Professional Trait,Business Acumen,11th house & lord (gains/networks),"11H lord average, some benefic support",1
Skill & Professional Trait,Business Acumen,11th house & lord (gains/networks),11H lord weak or placed in 6/8/12,-1
Skill & Professional Trait,Business Acumen,11th house & lord (gains/networks),11H lord debilitated & heavily afflicted,-2
Skill & Professional Trait,Business Acumen,10th house & lord (career/status),10H lord strong & well placed (supports this trait),2
Skill & Professional Trait,Business Acumen,10th house & lord (career/status),"10H lord average, some benefic support",1
Skill & Professional Trait,Business Acumen,10th house & lord (career/status),10H lord weak or placed in 6/8/12,-1
Skill & Professional Trait,Business Acumen,10th house & lord (career/status),10H lord debilitated & heavily afflicted,-2
Wealth & Resources Trait,Financial Responsibility,Base,Base,5
Wealth & Resources Trait,Financial Responsibility,Saturn (discipline & structure),Saturn very strong & well placed for this trait (own/exalted in key houses),2
Wealth & Resources Trait,Financial Responsibility,Saturn (discipline & structure),Saturn strong or benefic-supported for this trait,1
Wealth & Resources Trait,Financial Responsibility,Saturn (discipline & structure),Saturn weak or somewhat afflicted for this trait,-1
Wealth & Resources Trait,Financial Responsibility,Saturn (discipline & structure),Saturn very weak/debilitated & heavily afflicted for this trait,-2
Wealth & Resources Trait,Financial Responsibility,Jupiter (wisdom & expansion),Jupiter very strong & well placed for this trait (own/exalted in key houses),2
Wealth & Resources Trait,Financial Responsibility,Jupiter (wisdom & expansion),Jupiter strong or benefic-supported for this trait,1
Wealth & Resources Trait,Financial Responsibility,Jupiter (wisdom & expansion),Jupiter weak or somewhat afflicted for this trait,-1
Wealth & Resources Trait,Financial Responsibility,Jupiter (wisdom & expansion),Jupiter very weak/debilitated & heavily afflicted for this trait,-2
Wealth & Resources Trait,Financial Responsibility,Rahu (innovation & risk),Rahu very strong & well placed for this trait (own/exalted in key houses),2
Wealth & Resources Trait,Financial Responsibility,Rahu (innovation & risk),Rahu strong or benefic-supported for this trait,1
Wealth & Resources Trait,Financial Responsibility,Rahu (innovation & risk),Rahu weak or somewhat afflicted for this trait,-1
Wealth & Resources Trait,Financial Responsibility,Rahu (innovation & risk),Rahu very weak/debilitated & heavily afflicted for this trait,-2
Wealth & Resources Trait,Financial Responsibility,2nd house & lord (values/wealth),2H lord strong & well placed (supports this trait),2
Wealth & Resources Trait,Financial Responsibility,2nd house & lord (values/wealth),"2H lord average, some benefic support",1
Wealth & Resources Trait,Financial Responsibility,2nd house & lord (values/wealth),2H lord weak or placed in 6/8/12,-1
Wealth & Resources Trait,Financial Responsibility,2nd house & lord (values/wealth),2H lord debilitated & heavily afflicted,-2
Wealth & Resources Trait,Financial Responsibility,11th house & lord (gains/networks),11H lord strong & well placed (supports this trait),2
Wealth & Resources Trait,Financial Responsibility,11th house & lord (gains/networks),"11H lord average, some benefic support",1
Wealth & Resources Trait,Financial Responsibility,11th house & lord (gains/networks),11H lord weak or placed in 6/8/12,-1
Wealth & Resources Trait,Financial Responsibility,11th house & lord (gains/networks),11H lord debilitated & heavily afflicted,-2
Work & Collaboration Trait,Leadership Ability,Base,Base,5
Work & Collaboration Trait,Leadership Ability,Sun (identity & leadership),Sun very strong & well placed for this trait (own/exalted in key houses),2
Work & Collaboration Trait,Leadership Ability,Sun (identity & leadership),Sun strong or benefic-supported for this trait,1
Work & Collaboration Trait,Leadership Ability,Sun (identity & leadership),Sun weak or somewhat afflicted for this trait,-1
Work & Collaboration Trait,Leadership Ability,Sun (identity & leadership),Sun very weak/debilitated & heavily afflicted for this trait,-2
Work & Collaboration Trait,Leadership Ability,Mars (drive & execution),Mars very strong & well placed for this trait (own/exalted in key houses),2
Work & Collaboration Trait,Leadership Ability,Mars (drive & execution),Mars strong or benefic-supported for this trait,1
Work & Collaboration Trait,Leadership Ability,Mars (drive & execution),Mars weak or somewhat afflicted for this trait,-1
Work & Collaboration Trait,Leadership Ability,Mars (drive & execution),Mars very weak/debilitated & heavily afflicted for this trait,-2
Work & Collaboration Trait,Leadership Ability,Jupiter (wisdom & expansion),Jupiter very strong & well placed for this trait (own/exalted in key houses),2
Work & Collaboration Trait,Leadership Ability,Jupiter (wisdom & expansion),Jupiter strong or benefic-supported for this trait,1
Work & Collaboration Trait,Leadership Ability,Jupiter (wisdom & expansion),Jupiter weak or somewhat afflicted for this trait,-1
Work & Collaboration Trait,Leadership Ability,Jupiter (wisdom & expansion),Jupiter very weak/debilitated & heavily afflicted for this trait,-2
Work & Collaboration Trait,Leadership Ability,10th house & lord (career/status),10H lord strong & well placed (supports this trait),2
Work & Collaboration Trait,Leadership Ability,10th house & lord (career/status),"10H lord average, some benefic support",1
Work & Collaboration Trait,Leadership Ability,10th house & lord (career/status),10H lord weak or placed in 6/8/12,-1
Work & Collaboration Trait,Leadership Ability,10th house & lord (career/status),10H lord debilitated & heavily afflicted,-2
Work & Collaboration Trait,Leadership Ability,Lagna & lord (core nature),Lagna strong & well supported,1
Work & Collaboration Trait,Leadership Ability,Lagna & lord (core nature),Lagna weak or afflicted,-1
Skill & Professional Trait,Financial Discipline,Base,Base,5
Skill & Professional Trait,Financial Discipline,Saturn (discipline & structure),Saturn very strong & well placed for this trait (own/exalted in key houses),2
Skill & Professional Trait,Financial Discipline,Saturn (discipline & structure),Saturn strong or benefic-supported for this trait,1
Skill & Professional Trait,Financial Discipline,Saturn (discipline & structure),Saturn weak or somewhat afflicted for this trait,-1
Skill & Professional Trait,Financial Discipline,Saturn (discipline & structure),Saturn very weak/debilitated & heavily afflicted for this trait,-2
Skill & Professional Trait,Financial Discipline,Jupiter (wisdom & expansion),Jupiter very strong & well placed for this trait (own/exalted in key houses),2
Skill & Professional Trait,Financial Discipline,Jupiter (wisdom & expansion),Jupiter strong or benefic-supported for this trait,1
Skill & Professional Trait,Financial Discipline,Jupiter (wisdom & expansion),Jupiter weak or somewhat afflicted for this trait,-1
Skill & Professional Trait,Financial Discipline,Jupiter (wisdom & expansion),Jupiter very weak/debilitated & heavily afflicted for this trait,-2
Skill & Professional Trait,Financial Discipline,Venus (love & harmony),Venus very strong & well placed for this trait (own/exalted in key houses),2
Skill & Professional Trait,Financial Discipline,Venus (love & harmony),Venus strong or benefic-supported for this trait,1
Skill & Professional Trait,Financial Discipline,Venus (love & harmony),Venus weak or somewhat afflicted for this trait,-1
Skill & Professional Trait,Financial Discipline,Venus (love & harmony),Venus very weak/debilitated & heavily afflicted for this trait,-2
Skill & Professional Trait,Financial Discipline,2nd house & lord (values/wealth),2H lord strong & well placed (supports this trait),2
Skill & Professional Trait,Financial Discipline,2nd house & lord (values/wealth),"2H lord average, some benefic support",1
Skill & Professional Trait,Financial Discipline,2nd house & lord (values/wealth),2H lord weak or placed in 6/8/12,-1
Skill & Professional Trait,Financial Discipline,2nd house & lord (values/wealth),2H lord debilitated & heavily afflicted,-2
Skill & Professional Trait,Financial Discipline,11th house & lord (gains/networks),11H lord strong & well placed (supports this trait),2
Skill & Professional Trait,Financial Discipline,11th house & lord (gains/networks),"11H lord average, some benefic support",1
Skill & Professional Trait,Financial Discipline,11th house & lord (gains/networks),11H lord weak or placed in 6/8/12,-1
Skill & Professional Trait,Financial Discipline,11th house & lord (gains/networks),11H lord debilitated & heavily afflicted,-2
Wealth & Resources Trait,Wealth Potential,Base,Base,5
Wealth & Resources Trait,Wealth Potential,Jupiter (wisdom & expansion),Jupiter very strong & well placed for this trait (own/exalted in key houses),2
Wealth & Resources Trait,Wealth Potential,Jupiter (wisdom & expansion),Jupiter strong or benefic-supported for this trait,1
Wealth & Resources Trait,Wealth Potential,Jupiter (wisdom & expansion),Jupiter weak or somewhat afflicted for this trait,-1
Wealth & Resources Trait,Wealth Potential,Jupiter (wisdom & expansion),Jupiter very weak/debilitated & heavily afflicted for this trait,-2
Wealth & Resources Trait,Wealth Potential,Venus (love & harmony),Venus very strong & well placed for this trait (own/exalted in key houses),2
Wealth & Resources Trait,Wealth Potential,Venus (love & harmony),Venus strong or benefic-supported for this trait,1
Wealth & Resources Trait,Wealth Potential,Venus (love & harmony),Venus weak or somewhat afflicted for this trait,-1
Wealth & Resources Trait,Wealth Potential,Venus (love & harmony),Venus very weak/debilitated & heavily afflicted for this trait,-2
Wealth & Resources Trait,Wealth Potential,Saturn (discipline & structure),Saturn very strong & well placed for this trait (own/exalted in key houses),2
Wealth & Resources Trait,Wealth Potential,Saturn (discipline & structure),Saturn strong or benefic-supported for this trait,1
Wealth & Resources Trait,Wealth Potential,Saturn (discipline & structure),Saturn weak or somewhat afflicted for this trait,-1
Wealth & Resources Trait,Wealth Potential,Saturn (discipline & structure),Saturn very weak/debilitated & heavily afflicted for this trait,-2
